n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,68431.000000,69526.367188,0.000023,67602,26168,8739,0,1045,16384,4
64,8,230509.000000,229190.625000,0.000079,228236,103653,33968,0,4149,65536,4
128,8,857059.000000,856542.187500,0.000296,949213,411975,133342,0,16489,262144,4
256,8,3116141.000000,3116533.333333,0.001085,3095816,1643022,528697,0,65749,1048576,4
512,8,11540610.000000,11588400.000000,0.004016,11479193,6564641,2107755,0,262582,4194304,4
1024,8,48513375.000000,46052000.000000,0.016065,45267680,26237459,8410786,0,1049457,16777216,4
2048,8,215965600.000000,216706366.666667,0.074619,179612478,104915121,33610241,0,4196016,67108864,4
4096,8,845974679.000000,844034366.666667,0.291731,708223339,419580255,134364098,0,16780701,268435456,4
6144,8,1927557258.000000,1936618066.666667,0.667857,1617872574,943971336,302237598,0,37753962,603979776,4
8192,8,3465610055.000000,3474717166.666667,1.201454,3003980928,1678144890,537287212,0,67115854,1073741824,4
10240,8,5434162544.000000,5437822866.666666,1.881858,4632268581,2622018477,839430547,0,104866330,1677721600,4
12288,8,7856034547.000000,7830801366.666667,2.721013,6720842853,3775777692,1208853211,0,151005377,2415919104,4
14336,8,10908519988.000000,10791167766.666668,3.714161,9350631048,5139049283,1645181828,0,205533119,3288334336,4
