n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,81626.000000,81739.973958,0.000028,81426,214799,82690,0,1037,131072,4
64,64,289834.000000,287311.458333,0.000099,283659,857782,329358,0,4136,524288,4
128,64,1157112.000000,1150635.416667,0.000395,1271141,3427877,1314240,0,16485,2097152,4
256,64,4406477.000000,4392050.000000,0.001516,4306766,13704200,5249843,0,65749,8388608,4
512,64,16726209.000000,16574466.666667,0.005609,16707624,54801288,20984262,0,262594,33554432,4
1024,64,67910846.000000,70383000.000000,0.023299,66590923,219179524,83912300,0,1049496,134217728,4
2048,64,307518590.000000,309507333.333333,0.108556,267540712,876658900,335591825,0,4196163,536870912,4
4096,64,1243124720.000000,1252296366.666667,0.432431,1074188740,3506542114,1342277494,0,16780972,2147483648,4
6144,64,3167615779.000000,3176934533.333333,1.061872,2727874611,7889647443,3020054840,0,37754395,4831838208,4
8192,64,6603555171.000000,6508896300.000000,2.269306,5995379056,14025976844,5368925773,0,67116479,8589934592,4
10240,64,11330774749.000000,11769012966.666668,4.060700,10723749192,21915529150,8388889157,0,104867193,13421772800,4
12288,64,17193209313.000000,17344786900.000000,5.958583,15697824462,31558295640,12079936337,0,151006471,19327352832,4
14336,64,23957497748.000000,24060677466.666664,8.347232,22205260422,42954290325,16442081288,0,205534349,26306674688,4
