n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,116135.000000,116825.065104,0.000040,152818,477661,182997,0,2312,292352,4
64,64,522145.000000,522438.020833,0.000180,520495,1841591,705299,0,8868,1127424,4
128,64,1961971.000000,1955627.083333,0.000675,2050925,6978808,2672148,0,33508,4273152,4
256,64,7843372.000000,7911320.833333,0.002727,7766565,28728633,10998621,0,137692,17592320,4
512,64,30155592.000000,29605616.666667,0.010233,29414991,110104049,42149441,0,527280,67427328,4
1024,64,119995571.000000,121285733.333333,0.041465,122302368,442144768,169251988,0,2116460,270776320,4
2048,64,516920002.000000,498555433.333333,0.174559,506978719,1764193025,675310753,0,8442976,1080439296,4
4096,64,2096139662.000000,2095402733.333333,0.714353,2074295735,7007746034,2682437997,0,33533573,4291774464,4
6144,64,5247064733.000000,5227144633.333334,1.753157,5218800226,15788189550,6043401118,0,75547088,9669241344,4
8192,64,10831281088.000000,10753650466.666668,3.722609,10668411587,28028628187,10728762303,0,134115612,17165750272,4
10240,64,19174729965.000000,19013292233.333336,6.526520,18822575494,43808134785,16768796271,0,209617426,26829721088,4
12288,64,29072286966.000000,28923814100.000000,10.026666,28439757858,63093190449,24150659197,0,301892276,38640638976,4
14336,64,40919035109.000000,40820243400.000000,14.023655,40220234715,85970715788,32907641764,0,411355880,52651718144,4
