n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,67715.000000,67666.666667,0.000023,69266,25896,8463,0,1049,16384,4
64,8,227661.000000,227419.661458,0.000079,227164,103251,33569,0,4146,65536,4
128,8,852083.000000,850440.104167,0.000293,941435,411516,132887,0,16485,262144,4
256,8,3179445.000000,3197129.166667,0.001104,3151287,1642650,528323,0,65751,1048576,4
512,8,11907552.000000,12127800.000000,0.004098,12006904,6564695,2107824,0,262567,4194304,4
1024,8,46892971.000000,46865933.333333,0.016080,46343740,26242497,8415827,0,1049454,16777216,4
2048,8,217013428.000000,217005066.666667,0.074950,180381204,104938644,33633719,0,4196061,67108864,4
4096,8,848043790.000000,848049900.000000,0.291466,717476570,419665299,134449163,0,16780680,268435456,4
6144,8,1928018310.000000,1927669633.333333,0.662401,1625918186,944100366,302366686,0,37753904,603979776,4
8192,8,3435296519.000000,3423353333.333333,1.179728,2913213472,1678426624,537569002,0,67115798,1073741824,4
10240,8,5361885052.000000,5358648033.333334,1.853878,4604420593,2622428710,839840869,0,104866241,1677721600,4
12288,8,7782970729.000000,7786504833.333333,2.718651,6802075661,3776294777,1209370363,0,151005310,2415919104,4
14336,8,10912220475.000000,10740364600.000000,3.715334,9280066917,5139896658,1646029305,0,205533017,3288334336,4
