n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,76355.000000,76302.473958,0.000026,77436,214799,82690,0,1037,131072,4
64,64,254981.000000,254622.265625,0.000087,254470,857782,329358,0,4136,524288,4
128,64,991211.000000,991497.916667,0.000339,1100338,3427877,1314240,0,16485,2097152,4
256,64,3642458.000000,3649408.333333,0.001257,3700979,13704200,5249843,0,65749,8388608,4
512,64,13688618.000000,13734883.333333,0.004781,13654851,54801288,20984262,0,262594,33554432,4
1024,64,56334559.000000,56341200.000000,0.019488,56004079,219179524,83912300,0,1049496,134217728,4
2048,64,265335142.000000,264537033.333333,0.091621,231889952,876658900,335591825,0,4196163,536870912,4
4096,64,1097033121.000000,1112424533.333333,0.378977,935952256,3506542128,1342277508,0,16780972,2147483648,4
6144,64,2652810264.000000,2648022866.666667,0.899052,2341605092,7889647454,3020054851,0,37754395,4831838208,4
8192,64,5804944645.000000,5840926733.333334,2.026055,5235721326,14025976850,5368925779,0,67116479,8589934592,4
10240,64,10369659871.000000,10369958233.333332,3.525206,9182515308,21915529079,8388889086,0,104867193,13421772800,4
12288,64,15122491766.000000,15503909433.333334,5.259739,14061536059,31558295648,12079936344,0,151006472,19327352832,4
14336,64,21151803621.000000,20772771533.333336,7.276615,19193708752,42954290323,16442081286,0,205534349,26306674688,4
