n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,16,63067.000000,62818.229167,0.000022,133295,99601,49428,0,1533,48640,4
64,16,225606.000000,225206.901042,0.000078,225635,398978,197237,0,6157,195584,4
128,16,969580.000000,970216.145833,0.000336,1058449,1596931,787928,0,24619,784384,4
256,16,3353294.000000,3365510.416667,0.001157,3348761,6388509,3148475,0,98402,3141632,4
512,16,11868213.000000,11875741.666667,0.004103,11778954,25555606,12587455,0,393431,12574720,4
1024,16,43716736.000000,43608266.666667,0.015023,42974101,102230867,50342275,0,1573328,50315264,4
2048,16,169113297.000000,170290900.000000,0.058811,171331727,408934534,201348304,0,6292406,201293824,4
4096,16,678908753.000000,680680266.666667,0.234410,674667666,1635760606,805351988,0,25167786,805240832,4
6144,16,1597309270.000000,1596431633.333333,0.544269,1571025467,3680453368,1811986274,0,56626070,1811841024,4
8192,16,2855238461.000000,2873990866.666667,1.005672,2887980306,6543056025,3221294393,0,100667232,3221094400,4
10240,16,4626812375.000000,4673756966.666666,1.648207,4656371900,10223547683,5033255355,0,157291368,5033000960,4
12288,16,6956303196.000000,7124102300.000000,2.367840,6871515146,14721929998,7247870941,0,226498353,7247560704,4
14336,16,9542396408.000000,9558601066.666668,3.251573,9506832164,20038203775,9865141865,0,308288278,9864773632,4
