n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,57658.000000,57640.332031,0.000020,58390,20362,12740,6080,1542,0,4
64,4,233218.000000,233850.260417,0.000080,366010,80589,49978,24448,6163,0,4
128,4,1078979.000000,1078528.125000,0.000374,1077157,321208,198538,98048,24622,0,4
256,4,3993104.000000,3974691.666667,0.001369,3948359,1281206,790105,392704,98397,0,4
512,4,14531230.000000,14490816.666667,0.005024,14447124,5119472,3154215,1571840,393417,0,4
1024,4,53976685.000000,54148800.000000,0.018628,53965930,20462005,12599317,6289408,1573280,0,4
2048,4,221095903.000000,220659066.666667,0.076584,220974166,81843626,50389669,25161728,6292229,0,4
4096,4,892174009.000000,899629300.000000,0.310623,892322900,327307160,201484699,100655104,25167357,0,4
6144,4,1991127037.000000,1996066133.333333,0.687171,1980343997,736371244,453265744,226480128,56625372,0,4
8192,4,3743300657.000000,3744981700.000000,1.291072,3728119730,1309141603,805838465,402636800,100666338,0,4
10240,4,5900229867.000000,5899424566.666666,2.037839,5861865870,2045315720,1258900477,629125120,157290123,0,4
12288,4,8522992255.000000,8530578133.333333,2.955777,8511831364,2945384774,1812942774,905945088,226496912,0,4
14336,4,11711421460.000000,11759781300.000000,4.072208,11686117945,4009128420,2467745127,1233096704,308286589,0,4
