n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,107209.000000,106656.184896,0.000037,105909,318466,122373,0,1533,194560,4
64,64,381476.000000,381251.822917,0.000133,379958,1279132,490639,0,6157,782336,4
128,64,1555777.000000,1536879.166667,0.000527,1541149,5126625,1964468,0,24621,3137536,4
256,64,6004847.000000,6006262.500000,0.002060,6047438,20525962,7861025,0,98409,12566528,4
512,64,22746672.000000,21372033.333333,0.007363,21177435,82144829,31452504,0,393445,50298880,4
1024,64,91541767.000000,91375133.333333,0.031464,90988712,328653252,125818849,0,1573347,201261056,4
2048,64,366135720.000000,365516966.666667,0.128542,360017829,1314763448,503295717,0,6292435,805175296,4
4096,64,1431056136.000000,1402692300.000000,0.488504,1404745664,5259349457,2013218308,0,25167821,3220963328,4
6144,64,3592119055.000000,3665629966.666667,1.233677,3481685205,11833770058,4529779851,0,56626111,7247364096,4
8192,64,7993152753.000000,8066668033.333333,2.822449,8344589840,21038041284,8052996358,0,100667326,12884377600,4
10240,64,14742243815.000000,15149989566.666666,5.103073,14397954372,32872070125,12582774857,0,157291428,20132003840,4
12288,64,22622100131.000000,22652024700.000000,7.775338,22214933157,47336018378,18119277108,0,226498454,28990242816,4
14336,64,31480852975.000000,31484332366.666668,11.043217,30901470074,64429766339,24662383410,0,308288401,39459094528,4
