n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,90745.000000,90071.809896,0.000031,169936,318466,122373,0,1533,194560,4
64,64,360674.000000,358255.729167,0.000123,356931,1279132,490639,0,6157,782336,4
128,64,1425837.000000,1427464.583333,0.000494,1416326,5126625,1964468,0,24621,3137536,4
256,64,5256037.000000,5260600.000000,0.001827,5353727,20525962,7861025,0,98409,12566528,4
512,64,19725529.000000,19767850.000000,0.006820,19635334,82144829,31452504,0,393445,50298880,4
1024,64,78912132.000000,78802666.666667,0.027294,79335400,328653252,125818849,0,1573347,201261056,4
2048,64,321378966.000000,321607100.000000,0.110109,318310700,1314763448,503295717,0,6292435,805175296,4
4096,64,1346240378.000000,1352537766.666667,0.468233,1348134884,5259349457,2013218308,0,25167821,3220963328,4
6144,64,3360502696.000000,3342180400.000000,1.190885,3379126887,11833770058,4529779851,0,56626111,7247364096,4
8192,64,7589793696.000000,7734221700.000000,2.657947,7493463829,21038041284,8052996358,0,100667326,12884377600,4
10240,64,14217030924.000000,13912690066.666666,4.746564,13416832440,32872070125,12582774857,0,157291428,20132003840,4
12288,64,21182869997.000000,21087183733.333336,7.467990,21244094188,47336018378,18119277108,0,226498454,28990242816,4
14336,64,30157892280.000000,29713126433.333332,10.415061,29456397406,64429766339,24662383410,0,308288401,39459094528,4
