n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,2,51732.000000,51389.095052,0.000018,52525,18246,12678,2048,1536,1984,4
64,2,193498.000000,194133.854167,0.000066,340209,72363,49947,8192,6160,8064,4
128,2,796613.000000,799176.562500,0.000275,794124,288095,198208,32768,24607,32512,4
256,2,2645335.000000,2652472.916667,0.000915,2668120,1149251,789248,131072,98371,130560,4
512,2,9305452.000000,9341141.666667,0.003236,9351037,4593786,3152877,524288,393357,523264,4
1024,2,32167061.000000,31698933.333333,0.010933,31430180,18364283,12598920,2097152,1573107,2095104,4
2048,2,120817518.000000,120756966.666667,0.041657,119769637,73461097,50396022,8388608,6291955,8384512,4
4096,2,476156896.000000,470855600.000000,0.162792,468611545,293847186,201579726,33554432,25166788,33546240,4
6144,2,1095338197.000000,1108560766.666667,0.377673,1079250637,661125025,453517857,75497472,56624512,75485184,4
8192,2,1983883697.000000,1994440200.000000,0.687260,1977986065,1175479037,806394825,134217728,100665140,134201344,4
10240,2,3222419796.000000,3222384300.000000,1.113039,3195969059,1836419154,1259720552,209715200,157288682,209694720,4
12288,2,4715563221.000000,4753798900.000000,1.633405,4711975632,2644628347,1814177970,301989888,226495177,301965312,4
14336,2,6515274250.000000,6535263100.000000,2.258241,6523552587,3599395130,2469055719,411041792,308284499,411013120,4
