n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,108237.000000,107873.958333,0.000038,107745,316946,120853,0,1533,194560,4
64,64,402723.000000,403605.989583,0.000139,539910,1273020,484527,0,6157,782336,4
128,64,1517722.000000,1519358.333333,0.000526,1511800,5102113,1939956,0,24621,3137536,4
256,64,5629469.000000,5600504.166667,0.001918,5557472,20427786,7762849,0,98409,12566528,4
512,64,21739540.000000,21556666.666667,0.007422,21398807,81751869,31059544,0,393445,50298880,4
1024,64,88564405.000000,89187566.666667,0.031190,91054098,327080900,124246497,0,1573347,201261056,4
2048,64,364215437.000000,362513533.333333,0.124395,350000847,1308473016,497005285,0,6292435,805175296,4
4096,64,1516093010.000000,1435809333.333333,0.498412,1419562178,5234185681,1988054532,0,25167821,3220963328,4
6144,64,3700799591.000000,3642885266.666667,1.250622,3617040601,11777150026,4473159819,0,56626111,7247364096,4
8192,64,8029975831.000000,8038846400.000000,2.771981,7951613724,20937382084,7952337158,0,100667326,12884377600,4
10240,64,14615660120.000000,14694039966.666666,5.050283,14982650264,32714788845,12425493577,0,157291428,20132003840,4
12288,64,22567848942.000000,22521923933.333336,7.907274,22414516000,47109532106,17892790836,0,226498454,28990242816,4
14336,64,32160112435.000000,32257565166.666668,11.203444,31774314045,64121492163,24354109234,0,308288401,39459094528,4
