n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,89500.000000,90056.705729,0.000031,165068,46612,20759,0,1533,24320,4
64,8,348187.000000,346391.406250,0.000120,348538,186555,82606,0,6157,97792,4
128,8,1327090.000000,1325873.958333,0.000460,1320797,745875,329062,0,24621,392192,4
256,8,4831709.000000,4803487.500000,0.001668,4850333,2983260,1314042,0,98402,1570816,4
512,8,17427545.000000,17451233.333333,0.006035,17370860,11929482,5248694,0,393428,6287360,4
1024,8,66938969.000000,66776366.666667,0.024672,67155016,47712455,20981508,0,1573315,25157632,4
2048,8,258788924.000000,264032433.333333,0.089450,258096684,190845270,83905994,0,6292364,100646912,4
4096,8,1052296020.000000,1043850166.666667,0.361104,1037013495,763397162,335609067,0,25167679,402620416,4
6144,8,2373405626.000000,2368270500.000000,0.814991,2372068052,1717598573,755052171,0,56625890,905920512,4
8192,8,4313282510.000000,4321573233.333334,1.484549,4286735114,3053514180,1342299955,0,100667025,1610547200,4
10240,8,6852193766.000000,6860716566.666667,2.352476,6731704820,4771092599,2097301030,0,157291089,2516500480,4
12288,8,9990402637.000000,9875779866.666668,3.457449,9894987871,6870368740,3020090362,0,226498026,3623780352,4
14336,8,13710128614.000000,13727675866.666666,4.721226,13587056970,9351310768,4110636008,0,308287944,4932386816,4
