n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,92472.000000,92507.356771,0.000033,158737,46504,20642,0,1542,24320,4
64,8,331899.000000,334836.718750,0.000115,333319,186306,82349,0,6165,97792,4
128,8,1356116.000000,1344995.833333,0.000464,1335208,745234,328415,0,24627,392192,4
256,8,4990504.000000,4954650.000000,0.001698,4869248,2981806,1312579,0,98411,1570816,4
512,8,18197335.000000,18239550.000000,0.006284,18170246,11926614,5245814,0,393440,6287360,4
1024,8,69931972.000000,69861000.000000,0.024324,70795499,47710667,20979713,0,1573322,25157632,4
2048,8,271437670.000000,270927666.666667,0.093686,268451045,190844722,83905404,0,6292406,100646912,4
4096,8,1086844474.000000,1088558500.000000,0.376371,1070494460,763381626,335593484,0,25167726,402620416,4
6144,8,2468856371.000000,2460544633.333333,0.851331,2495602999,1717597225,755050802,0,56625911,905920512,4
8192,8,4426830009.000000,4425693866.666666,1.531790,4388284832,3053535282,1342321043,0,100667039,1610547200,4
10240,8,7051807001.000000,7073709000.000000,2.432319,6960637915,4771118200,2097326599,0,157291121,2516500480,4
12288,8,10210433902.000000,10384048366.666668,3.551105,10157460530,6870417030,3020138621,0,226498057,3623780352,4
14336,8,14146885946.000000,14151968100.000000,4.882728,13970580014,9351401818,4110727040,0,308287962,4932386816,4
