n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,55163.000000,55116.992188,0.000019,56659,27201,17604,4096,1533,3968,4
64,4,220658.000000,218209.895833,0.000075,338868,109218,70553,16384,6153,16128,4
128,4,873908.000000,879621.354167,0.000305,872176,435221,280057,65536,24604,65024,4
256,4,2830813.000000,2836985.416667,0.000979,2828089,1737979,1116364,262144,98351,261120,4
512,4,9693013.000000,9645641.666667,0.003334,9644279,6950715,4462310,1048576,393301,1046528,4
1024,4,33924296.000000,34106900.000000,0.011729,33842867,27802053,17844539,4194304,1573002,4190208,4
2048,4,128654904.000000,128760966.666667,0.044502,127600717,111194806,71356907,16777216,6291659,16769024,4
4096,4,496543345.000000,497407033.333333,0.171500,494404789,444764197,285396722,67108864,25166131,67092480,4
6144,4,1133503376.000000,1133123766.666667,0.391109,1128320321,1000780782,642191945,150994944,56623525,150970368,4
8192,4,2043735212.000000,2046914733.333333,0.705547,2047407871,1779112021,1141610076,268435456,100663801,268402688,4
10240,4,3302185349.000000,3295689533.333333,1.137530,3271507562,2779846542,1783739705,419430400,157286997,419389440,4
12288,4,4773070502.000000,4785910600.000000,1.652100,4743674352,4003094629,2568691139,603979776,226493090,603930624,4
14336,4,6609224197.000000,6634446000.000000,2.299952,6650227169,5448570309,3496178424,822083584,308282061,822026240,4
