n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,256,227763.000000,230572.656250,0.000079,229049,1193989,414216,0,1533,778240,4
64,256,911169.000000,915025.520833,0.000318,1034573,4799632,1664131,0,6157,3129344,4
128,256,3650488.000000,3641252.083333,0.001250,3767410,19245363,6670603,0,24616,12550144,4
256,256,14294634.000000,14366600.000000,0.004985,14690066,77075882,26711358,0,98412,50266112,4
512,256,60499336.000000,60175966.666667,0.020731,59282678,308489815,106900850,0,393445,201195520,4
1024,256,245210959.000000,244246700.000000,0.084386,235406768,1234330400,427712825,0,1573351,805044224,4
2048,256,1403640058.000000,1442637866.666667,0.499124,1425521940,4938046867,1711053243,0,6292440,3220701184,4
4096,256,7864547932.000000,7804708133.333333,2.632392,7497508251,19753706372,6844685233,0,25167827,12883853312,4
6144,256,17999333053.000000,17884227500.000000,6.244021,17671696094,44446891634,15400809136,0,56626114,28989456384,4
8192,256,32843157526.000000,32442548433.333332,11.271093,32454166996,79017737769,27379560035,0,100667334,51537510400,4
10240,256,50955232913.000000,50678725733.333336,17.526344,50429812713,123466138849,42780832052,0,157291437,80528015360,4
12288,256,74121084098.000000,73209743100.000000,25.486834,72875834778,177792096017,61604626276,0,226498477,115960971264,4
14336,256,99570619676.000000,100756764800.000000,34.447880,98156787767,241995642896,83850976353,0,308288431,157836378112,4
