n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,92372.000000,91306.575521,0.000032,93095,318466,122373,0,1533,194560,4
64,64,366748.000000,362137.500000,0.000124,358461,1279132,490639,0,6157,782336,4
128,64,1440811.000000,1443293.750000,0.000489,1527015,5126625,1964468,0,24621,3137536,4
256,64,5326413.000000,5233050.000000,0.001803,5206483,20525962,7861025,0,98409,12566528,4
512,64,19553163.000000,19548900.000000,0.006743,19507006,82144829,31452504,0,393445,50298880,4
1024,64,79729951.000000,79072366.666667,0.027116,78042747,328653252,125818849,0,1573347,201261056,4
2048,64,333383951.000000,331397500.000000,0.115312,321765836,1314763448,503295717,0,6292435,805175296,4
4096,64,1331089076.000000,1322768300.000000,0.467088,1312918171,5259349457,2013218308,0,25167821,3220963328,4
6144,64,3277389644.000000,3249926566.666667,1.127577,3262419781,11833770058,4529779851,0,56626111,7247364096,4
8192,64,7661625381.000000,7823816233.333333,2.698532,7748735055,21038041284,8052996358,0,100667326,12884377600,4
10240,64,13965924661.000000,14135814133.333334,4.788134,13706305536,32872070125,12582774857,0,157291428,20132003840,4
12288,64,21523213455.000000,21286786866.666664,7.398924,20846061225,47336018378,18119277108,0,226498454,28990242816,4
14336,64,30083361806.000000,30313287233.333332,10.251589,29628984003,64429766339,24662383410,0,308288401,39459094528,4
