n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,93111.000000,92935.937500,0.000032,172585,46611,20752,0,1539,24320,4
64,8,354681.000000,356110.937500,0.000123,351801,186524,82570,0,6162,97792,4
128,8,1365703.000000,1351702.083333,0.000468,1343879,746012,329196,0,24624,392192,4
256,8,4956631.000000,4958879.166667,0.001715,4942091,2981547,1312323,0,98408,1570816,4
512,8,18417184.000000,18474450.000000,0.006697,18483855,11928634,5247837,0,393437,6287360,4
1024,8,69982307.000000,69537166.666667,0.024002,69212939,47712488,20981533,0,1573323,25157632,4
2048,8,274868428.000000,275532866.666667,0.095313,271893908,190845814,83906524,0,6292378,100646912,4
4096,8,1096763102.000000,1091513600.000000,0.377178,1076222318,763380242,335592107,0,25167719,402620416,4
6144,8,2465105134.000000,2484360400.000000,0.853271,2459736739,1717599887,755053409,0,56625966,905920512,4
8192,8,4477835886.000000,4465191866.666666,1.537642,4426476116,3053511130,1342296849,0,100667081,1610547200,4
10240,8,7139101419.000000,7163231033.333333,2.467340,7072800662,4771107327,2097315756,0,157291091,2516500480,4
12288,8,10250749673.000000,10234069066.666668,3.558439,10209622541,6870370299,3020091881,0,226498066,3623780352,4
14336,8,14175094459.000000,14209930400.000000,4.920187,14287821600,9351348971,4110674254,0,308287901,4932386816,4
