n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,404489.000000,407450.000000,0.000155,581100,95991,63612,31769,610,0,4
64,64,1746430.000000,1534311.458333,0.000523,1470490,389639,258300,129081,2258,0,4
128,64,5590715.000000,5516041.666667,0.001909,5364090,1569831,1040892,520313,8626,0,4
256,64,18652935.000000,18678416.666667,0.006478,18829032,6301784,4178934,2089206,33644,0,4
512,64,71144163.000000,70785133.333333,0.024417,71165343,25252041,16746480,8372723,132838,0,4
1024,64,284419114.000000,283062233.333333,0.097361,273368041,101097929,67047408,33522675,527846,0,4
2048,64,1136674140.000000,1102000966.666667,0.376424,1115674712,404571033,268312542,134154217,2104274,0,4
4096,64,4356750842.000000,4681756133.333334,1.571405,4307509708,1618642805,1073496018,536743905,8402882,0,4
6144,64,11589905206.000000,11162506966.666668,3.927321,11433311842,3642215259,2415550410,1207769051,18895798,0,4
8192,64,22928653863.000000,22925744100.000000,7.851750,22374226942,6475288353,4294475694,2147229649,33583010,0,4
10240,64,43952740769.000000,43721634433.333328,15.096532,43838937526,10117862098,6710271890,3355125696,52464512,0,4
12288,64,69769278800.000000,70234839966.666656,24.833501,72997223476,14569936507,9662938990,4831457199,75540318,0,4
14336,64,99223028208.000000,99397568633.333328,34.466204,99344620835,19831511672,13152477038,6576224174,102810460,0,4
