n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,99222.000000,98970.052083,0.000034,92374,64089,42572,20480,1037,0,4
64,20,373631.000000,378495.312500,0.000128,340186,255242,169192,81920,4130,0,4
128,20,1458114.000000,1461056.250000,0.000505,1527586,1018338,674201,327680,16457,0,4
256,20,5787903.000000,5770395.833333,0.002018,5325496,4068316,2691894,1310720,65702,0,4
512,20,22858075.000000,23136200.000000,0.007914,21262107,16262917,10757549,5242880,262488,0,4
1024,20,91883648.000000,92128166.666667,0.031976,85506555,65035021,43014208,20971520,1049293,0,4
2048,20,407746138.000000,407528300.000000,0.140135,344905264,260104166,172022278,83886080,4195808,0,4
4096,20,1631086275.000000,1619201466.666667,0.564133,1394485441,1040291546,687966800,335544320,16780426,0,4
6144,20,3676333953.000000,3713667500.000000,1.271630,3168884537,2340625505,1547897331,754974720,37753454,0,4
8192,20,6679277013.000000,6705731866.666667,2.798185,5679994866,4161024525,2751731997,1342177280,67115248,0,4
