n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,91521.000000,93417.382812,0.000033,151824,64089,42572,20480,1037,0,4
64,20,325489.000000,324724.479167,0.000113,296445,255242,169192,81920,4130,0,4
128,20,1295359.000000,1331402.083333,0.000452,1190406,1018338,674201,327680,16457,0,4
256,20,5113147.000000,5084425.000000,0.001753,4745922,4068316,2691894,1310720,65702,0,4
512,20,20320285.000000,20437750.000000,0.007049,18691715,16262917,10757549,5242880,262488,0,4
1024,20,82311038.000000,81991700.000000,0.028253,75564824,65035021,43014208,20971520,1049293,0,4
2048,20,365444118.000000,365505366.666667,0.125812,299122507,260104166,172022278,83886080,4195808,0,4
4096,20,1465711156.000000,1453380433.333333,0.494952,1190440711,1040291546,687966800,335544320,16780426,0,4
6144,20,3245000075.000000,3269114900.000000,1.122429,2711801106,2340625505,1547897331,754974720,37753454,0,4
8192,20,5872064951.000000,5869875500.000000,2.014593,4874073458,4161024525,2751731997,1342177280,67115248,0,4
