n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,92147.000000,92091.992188,0.000033,200397,63112,41595,20480,1037,0,4
64,20,337540.000000,334919.791667,0.000116,334115,251244,165183,81920,4141,0,4
128,20,1466646.000000,1469393.750000,0.000508,1459793,1002469,658296,327680,16493,0,4
256,20,6366516.000000,6249862.500000,0.002165,6293890,4004210,2627721,1310720,65769,0,4
512,20,23649461.000000,23603583.333333,0.008167,23392033,16004032,10498523,5242880,262629,0,4
1024,20,96411167.000000,96367000.000000,0.033267,95260127,63989769,41968695,20971520,1049554,0,4
2048,20,427314265.000000,427253133.333333,0.148122,391322298,255902348,167819975,83886080,4196293,0,4
4096,20,1717902493.000000,1722842633.333333,0.594658,1564064807,1023516192,671190650,335544320,16781222,0,4
6144,20,3848790293.000000,3851903733.333333,1.334171,3480741936,2302824778,1510095292,754974720,37754766,0,4
8192,20,6683292865.000000,6676466033.333333,2.303906,6142915295,4093856487,2684562305,1342177280,67116902,0,4
10240,20,11024528620.000000,11034486466.666668,3.814592,10071245781,6396578711,4194559050,2097152000,104867661,0,4
12288,20,16166524778.000000,16133399866.666666,5.618685,14914450317,9211014063,6040108126,3019898880,151007057,0,4
14336,20,21841075901.000000,21861744733.333336,7.595811,20336640269,12537156156,8221203244,4110417920,205534992,0,4
