n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,93790.000000,93345.638021,0.000033,140487,64089,42572,20480,1037,0,4
64,20,344331.000000,340485.677083,0.000118,313044,255242,169192,81920,4130,0,4
128,20,1474066.000000,1486703.125000,0.000499,1323710,1018338,674201,327680,16457,0,4
256,20,5845302.000000,5874675.000000,0.001943,5386083,4068316,2691894,1310720,65702,0,4
512,20,22590845.000000,22372533.333333,0.007954,20912354,16262917,10757549,5242880,262488,0,4
1024,20,93300791.000000,93842066.666667,0.032128,86044138,65035021,43014208,20971520,1049293,0,4
2048,20,402935318.000000,396971333.333333,0.137809,333056652,260104166,172022278,83886080,4195808,0,4
4096,20,1602037739.000000,1604749800.000000,0.550005,1328187828,1040291546,687966800,335544320,16780426,0,4
6144,20,3644768333.000000,3586268566.666667,1.232462,3021716081,2340625505,1547897331,754974720,37753454,0,4
8192,20,6438276147.000000,6432258000.000000,2.226556,5447725488,4161024525,2751731997,1342177280,67115248,0,4
