n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,71494.000000,71304.882812,0.000025,71089,26210,8781,0,1045,16384,4
64,8,228100.000000,228794.140625,0.000079,226944,103732,34053,0,4143,65536,4
128,8,868548.000000,864381.250000,0.000304,1040534,412290,133658,0,16488,262144,4
256,8,3282031.000000,3186193.750000,0.001091,3170414,1643814,529471,0,65767,1048576,4
512,8,11678469.000000,11629241.666667,0.004053,12089204,6565434,2108552,0,262578,4194304,4
1024,8,45874239.000000,45798733.333333,0.015834,45785275,26236519,8409858,0,1049445,16777216,4
2048,8,218172210.000000,220795366.666667,0.074845,181850527,104913140,33608240,0,4196036,67108864,4
4096,8,842811736.000000,842071066.666667,0.292543,716292172,419550613,134334425,0,16780732,268435456,4
6144,8,1954657777.000000,1939810000.000000,0.671410,1624500106,943934914,302201131,0,37754007,603979776,4
8192,8,3421144770.000000,3442015800.000000,1.190052,2925750149,1678031050,537173351,0,67115875,1073741824,4
10240,8,5440138275.000000,5392547100.000000,1.896132,4676389881,2621861876,839273909,0,104866367,1677721600,4
12288,8,8018713333.000000,7897960533.333333,2.708123,6791136351,3775516630,1208592133,0,151005393,2415919104,4
14336,8,10869184833.000000,10869342100.000000,3.700815,9283707662,5138822513,1644955065,0,205533112,3288334336,4
