n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,32,73464.000000,73547.851562,0.000025,73323,172397,73584,0,1533,97280,4
64,32,269051.000000,268839.062500,0.000093,399886,692056,294732,0,6156,391168,4
128,32,1084244.000000,1082364.583333,0.000372,1079910,2772899,1179511,0,24620,1568768,4
256,32,3907888.000000,3910770.833333,0.001351,3898261,11100385,4718713,0,98408,6283264,4
512,32,14223530.000000,17334025.000000,0.004946,14282876,44418924,18876043,0,393441,25149440,4
1024,32,54591823.000000,54412700.000000,0.019015,54282314,177704922,75501052,0,1573342,100630528,4
2048,32,221506514.000000,214707300.000000,0.077296,213085917,710877201,301997113,0,6292440,402587648,4
4096,32,876990092.000000,875510000.000000,0.304621,882943537,2843624145,1207974666,0,25167815,1610481664,4
6144,32,2063057090.000000,2067412900.000000,0.697572,2030174434,6398223953,2717915814,0,56626091,3623682048,4
8192,32,3782071781.000000,3750966333.333333,1.278142,3671303469,11374707074,4831850991,0,100667283,6442188800,4
10240,32,6149036247.000000,6108001266.666667,2.075044,5878896346,17773051686,7549758371,0,157291395,10066001920,4
12288,32,9724261913.000000,9530042833.333332,3.336814,9558486040,25593268317,10871648486,0,226498423,14495121408,4
14336,32,14269080694.000000,14485430400.000000,5.004207,14675889557,34835379349,14797543719,0,308288366,19729547264,4
